model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,4096,12,24,3,1,512,1024,0.2884342670440674,0.39611881971359253,0.41501832008361816,0.4479103088378906
medium,42,4096,12,24,3,2,1024,1536,0.30067500472068787,0.3898136019706726,0.4014979600906372,0.4500972032546997
medium,42,4096,12,24,3,3,1536,2048,0.30424901843070984,0.39854949712753296,0.393528550863266,0.44765082001686096
medium,42,4096,12,24,3,4,2048,2560,0.3092902600765228,0.39465492963790894,0.38823872804641724,0.447108656167984
medium,42,4096,12,24,3,5,2560,3072,0.31727665662765503,0.39621418714523315,0.38567614555358887,0.445622056722641
medium,42,4096,12,24,3,6,3072,3584,0.32056084275245667,0.40165260434150696,0.3834241032600403,0.4438594579696655
medium,42,4096,12,24,3,7,3584,4096,0.3234712779521942,0.40250512957572937,0.38581323623657227,0.4398830831050873
medium,42,4096,13,24,3,0,0,512,0.24186956882476807,0.46903735399246216,0.3272612690925598,0.2973703444004059
medium,42,4096,13,24,3,1,512,1024,0.2447594255208969,0.484437495470047,0.34018829464912415,0.28673604130744934
medium,42,4096,13,24,3,2,1024,1536,0.23412050306797028,0.49919044971466064,0.3466618061065674,0.29168567061424255
medium,42,4096,13,24,3,3,1536,2048,0.23698261380195618,0.5032652616500854,0.3409039378166199,0.28918856382369995
medium,42,4096,13,24,3,4,2048,2560,0.23770713806152344,0.5095499753952026,0.3354976177215576,0.290493905544281
medium,42,4096,13,24,3,5,2560,3072,0.2324903905391693,0.5113240480422974,0.3445950746536255,0.2875825762748718
medium,42,4096,13,24,3,6,3072,3584,0.23164314031600952,0.515291690826416,0.3399592936038971,0.28774935007095337
medium,42,4096,13,24,3,7,3584,4096,0.23141524195671082,0.5176922678947449,0.33866164088249207,0.2894724905490875
medium,42,4096,14,24,3,0,0,512,0.20226317644119263,0.45567333698272705,0.4006247818470001,0.42384788393974304
medium,42,4096,14,24,3,1,512,1024,0.171051025390625,0.47290506958961487,0.42472952604293823,0.4030396640300751
medium,42,4096,14,24,3,2,1024,1536,0.16383564472198486,0.4773011803627014,0.4267406761646271,0.39605575799942017
medium,42,4096,14,24,3,3,1536,2048,0.1628330945968628,0.48182129859924316,0.42295992374420166,0.39387357234954834
medium,42,4096,14,24,3,4,2048,2560,0.16009461879730225,0.4826339781284332,0.42555397748947144,0.3857482671737671
medium,42,4096,14,24,3,5,2560,3072,0.15765146911144257,0.4818354547023773,0.4254130423069,0.3806780278682709
medium,42,4096,14,24,3,6,3072,3584,0.15572427213191986,0.47850918769836426,0.4186292886734009,0.3822719156742096
